[11, 10, 18, 17] [2, 5, 9, 5] [112, 105, 189, 175]
[11, 10, 20, 11] [9, 1, 2, 9] [119, 101, 202, 119]
[11, 10, 20, 16] [7, 2, 4, 8] [117, 102, 204, 168]
[11, 12, 10, 11] [5, 6, 5, 5] [115, 126, 105, 115]
[11, 14, 10, 13] [4, 7, 5, 5] [114, 147, 105, 135]
[11, 15, 5, 6] [8, 6, 2, 6] [118, 156, 52, 66]
[11, 15, 10, 11] [8, 3, 2, 8] [118, 153, 102, 118]
[11, 16, 10, 15] [3, 8, 5, 5] [113, 168, 105, 155]
[11, 18, 10, 17] [2, 9, 5, 5] [112, 189, 105, 175]
[11, 20, 5, 6] [9, 4, 1, 8] [119, 204, 51, 68]
[11, 20, 10, 11] [9, 2, 1, 9] [119, 202, 101, 119]
[11, 20, 10, 16] [7, 4, 2, 8] [117, 204, 102, 168]
[13, 10, 14, 11] [5, 5, 7, 4] [135, 105, 147, 114]
[13, 14, 10, 11] [5, 7, 5, 4] [135, 147, 105, 114]
[15, 4, 12, 3] [9, 2, 6, 3] [159, 42, 126, 33]
[15, 6, 8, 3] [9, 3, 4, 3] [159, 63, 84, 33]
[15, 8, 6, 3] [9, 4, 3, 3] [159, 84, 63, 33]
[15, 10, 16, 11] [5, 5, 8, 3] [155, 105, 168, 113]
[15, 12, 4, 3] [9, 6, 2, 3] [159, 126, 42, 33]
[15, 12, 18, 15] [3, 6, 9, 3] [153, 126, 189, 153]
[15, 16, 10, 11] [5, 8, 5, 3] [155, 168, 105, 113]
[15, 18, 12, 15] [3, 9, 6, 3] [153, 189, 126, 153]
[16, 5, 20, 6] [8, 2, 8, 4] [168, 52, 208, 64]
[16, 10, 10, 6] [8, 4, 4, 4] [168, 104, 104, 64]
[16, 10, 20, 11] [8, 2, 4, 7] [168, 102, 204, 117]
[16, 20, 5, 6] [8, 8, 2, 4] [168, 208, 52, 64]
[16, 20, 10, 11] [8, 4, 2, 7] [168, 204, 102, 117]
[17, 6, 14, 5] [8, 3, 7, 2] [178, 63, 147, 52]
[17, 10, 18, 11] [5, 5, 9, 2] [175, 105, 189, 112]
[17, 14, 6, 5] [8, 7, 3, 2] [178, 147, 63, 52]
[17, 18, 10, 11] [5, 9, 5, 2] [175, 189, 105, 112]
[18, 3, 18, 3] [9, 15, 9, 15] [189, 315, 189, 315]
[19, 4, 14, 3] [9, 2, 7, 1] [199, 42, 147, 31]
[19, 4, 14, 3] [9, 20, 7, 10] [199, 420, 147, 310]
[19, 8, 16, 7] [7, 4, 8, 1] [197, 84, 168, 71]
[19, 14, 4, 3] [9, 7, 2, 1] [199, 147, 42, 31]
[19, 16, 8, 7] [7, 8, 4, 1] [197, 168, 84, 71]
211 25600000000
